date,price,product,category
2022-01-25,67000,7102 Metal Chair Red,
2022-01-26,69000,7103 Brass Chair  Blue,
2022-01-27,69000,7103 Brass Chair  Pink,
2022-01-28,69000,7103 Brass Chair  Orange,
2022-01-29,45000,Post Modern Table 34,
2022-01-30,32000,Wooden Table 34,
2022-01-31,33000,Wooden Table 36,
2022-02-01,32000,Glass Table 32,
2022-02-02,59000,Long Red Mirror Big,
2022-02-03,59000,Long Red Mirror Small,
2022-02-04,58000,Shimmering Mirror Medium,
2022-02-05,88000,Blue Frame Sofa Big,
2022-02-06,88000,Blue Frame Sofa Small,
2022-02-07,88000,Blue Frame Sofa Medium,
2022-02-08,88000,Leather Cushion Sofa Big,
2022-02-08,41000,222335555,
